model,name,description,model,perplexity,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,rts_reasoning_sample,geval_treatment_completeness,bias_detected,rts_score,geval_diagnostic_accuracy,gemba_score,bias_score,geval_mean,geval_clinical_coherence,geval_clinical_relevance,geval_patient_safety,clinical_msk_score,mean_latency_ms,p50_latency_ms,p95_latency_ms
llama_3b_1b,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,16.81653507,0.174547701,0.038145065,0.092057166,0.759343326,0.730216205,0.74436909,"# Expert MSK Physiotherapy Evaluation

## Case Study: ""The 45-Year-Old Runner"" – Achilles Tendon

---

## Dimension 1: CLINICAL REASONING

### Strengths
- The link between running history, mechanical loading (uphill running, jumping, landing) and posterior ankle pain is **directionally appropriate**
- Age (45), male sex, hypertension, and diabetes are correctly identified as risk-modifying factors — fluoroquinolone use, metabolic syndrome, and microvascular changes in diabetes are well-documented contributors to tendinopathy

### Weaknesses
- **Diagnostic terminology is outdated**: ""Achilles t",0.12,0,0.14,0.16,0.398,0,0.252,0.34,0.4,0.24,0.3486,1222.421889,1220.461361,1228.674029
llama_3b_1b,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,17.29510995,0.143834557,0.029292525,0.077948031,0.743529677,0.701623619,0.721699715,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendonitis Case Analysis

---

## 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- The mechanism is plausible: a beginner runner (despite 5 years, described as ""weekend athlete"") with a 6-week gradual onset of calf/heel pain is consistent with an overuse Achilles tendinopathy pattern
- Identifying repetitive stress, poor foot mechanics, and sudden activity increases as causative factors is clinically appropriate

**Weaknesses:**
- The diagnosis defaults to ""tendonitis"" without distinguishing between **inser",0.06,0,0.46,0.06,0.244,0,0.116,0.12,0.22,0.12,0.3341,714.5211686,713.5246029,717.8369499
llama_3b_1b,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,19.04476441,0.187789646,0.041439694,0.104314684,0.784588277,0.719691813,0.750537217,"# Clinical Case Study Evaluation: Mr. Raj – Achilles Tendinosis

---

## 1. CLINICAL REASONING – Presentation → Diagnosis

**Analysis:**

The clinical reasoning chain is **weak and poorly constructed**. Several significant concerns exist:

- The diagnosis of ""mild tendinosis of the distal Achilles tendon"" appears without adequate justification. Achilles tendinosis typically presents at the **mid-portion** (2-6cm proximal to insertion); distal/insertional tendinopathy is a distinct entity requiring different management
- **No clear mechanism of injury or onset history** is provided — was this a",0.06,0,0.08,0.08,0.22,0,0.132,0.12,0.2,0.2,0.2645,638.2625126,638.0076546,641.2104741
llama_3b_1b,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,12.31413725,0.182970983,0.038298467,0.10297116,0.780950069,0.720962346,0.749549389,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major Deficiencies:**
- The case describes an ""Achilles tendon rupture"" but provides **no diagnostic reasoning pathway** — no mechanism of injury is described (e.g., sudden push-off, eccentric load, audible ""pop"")
- The anatomical description is **clinically inaccurate**: Achilles tendon ruptures characteristically occur **2-6cm proximal to the calcaneal insertion**, not ""at the junction between the tendon and the bone"" — that would describe an avulsion
- ",0.08,0,0.26,0.08,0.246,0,0.14,0.14,0.24,0.16,0.3087,639.7920133,639.6307138,641.1366725
llama_3b_1b,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,13.31395177,0.17042843,0.037617975,0.095551067,0.780062437,0.708354115,0.742342591,"# MSK Physiotherapy Clinical Case Study Evaluation

## Achilles Tendon Case Study Analysis

---

## 1. CLINICAL REASONING – Presentation → Diagnosis Logic

### Strengths:
- Basic demographic information provided (29-year-old female)
- Running history noted as a relevant predisposing factor
- Repetitive ankle sprain history acknowledged

### Critical Weaknesses:
- **""Grade 3 Achilles tendon injury""** is poorly classified — Achilles tendon pathology is typically classified as tendinopathy (insertional vs. mid-portion), partial tear, or complete rupture, **not** graded 1-3 in standard clinical pr",0.06,0,0.08,0.04,0.214,0,0.088,0.1,0.16,0.08,0.2495,637.210887,637.0491985,638.2921111
llama_3b_1b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,13.30579431,0.182031315,0.043413036,0.103624969,0.782066643,0.71701479,0.747995377,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major deficiencies identified:**
- The case incorrectly references **""RICE criteria""** for grading — RICE (Rest, Ice, Compression, Elevation) is a **management protocol**, not a grading/classification system. Achilles tendon injuries are typically graded using the **Blazina classification**, **VISA-A scale**, or described by rupture severity (partial vs. complete)
- No mechanism of injury detail beyond ""working out on a treadmill"" — was there an a",0.06,0,0.16,0.06,0.188,0,0.088,0.08,0.14,0.1,0.261,638.4068007,638.3002994,640.0462278
llama_3b_1b,A6_fixed_rank_lora,Full method with fixed uniform LoRA rank (r=16) — isolates benefit of dynamic rank allocation,A6_fixed_rank_lora,13.84085271,0.171825857,0.040299343,0.095554904,0.780461788,0.715290904,0.746149957,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major deficiencies identified:**

- The case presents classic Achilles tendinopathy features (heel pain, post-activity pain, swelling) but **no formal diagnosis is reached**
- The inclusion of **numbness and tingling in the toes** is a significant neurological red flag that is completely unexplored — this could indicate tarsal tunnel syndrome, L5/S1 radiculopathy (linked to noted LBP history), or vascular compromise
- The **use of crutches** sugge",0.06,0,0.08,0.04,0.188,0,0.076,0.1,0.12,0.06,0.2408,650.5537794,648.4084566,673.6828223
llama_tiny,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,10760.9835,0.185939551,0.043013174,0.09725267,0.774241567,0.736050963,0.7545892,"# MSK Physiotherapy Clinical Case Evaluation: Achilles Tendon Inflammation

---

## 1. CLINICAL REASONING

### Strengths
- The mechanism of injury is plausible: repetitive heavy loading over 3 months with gradual symptom escalation is consistent with **tendinopathy/tendinitis** progression
- Palpation pain and swelling over the Achilles tendon are appropriate cardinal signs
- Ultrasound finding of a **hypoechoic area** at the tendon junction is consistent with tendinopathic changes or partial tearing

### Weaknesses
- **Diagnostic inconsistency**: The working diagnosis is ""Achilles Tendon Infl",0.28,0.16,0.24,0.26,0,0.364,0,0.14,0.1,0.4,0.3396,1445.579187,1443.805277,1453.369155
llama_tiny,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,30.40168968,0.142034538,0.026822417,0.076319304,0.769286096,0.713953614,0.740532219,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Strengths:**
- The mechanism of injury (Achilles tendon rupture) is consistent with the patient's history of prior Achilles tears, plantar fasciitis, and stress fractures, which are recognized risk factors
- Pain localized to the right heel radiating up the posterior leg is anatomically consistent with Achilles tendon pathology
- Ultrasound confirmation of the tear adds objective diagnostic validity

**Weaknesses:**
- **Critical anatomical i",0.22,0.14,0.196,0.16,0,0.352,0,0.26,0.14,0.32,0.3447,976.3941701,974.0157624,990.2581707
llama_tiny,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,85.71284845,0.148975481,0.032248534,0.080670853,0.783886015,0.715866923,0.748140335,"# MSK Physiotherapy Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING
**Assessment: Very Poor**

The clinical reasoning is fundamentally flawed and internally inconsistent:
- The patient is introduced as a **35-year-old male**, yet throughout the outcomes and physical findings sections, the patient is referred to as **""she/her""** — a basic demographic contradiction that undermines credibility
- The physical findings describe pain ""on the inside of her..."" — the sentence is **incomplete**, leaving the anatomical finding unresolved
- Achilles tendon pathol",0.12,0.06,0.116,0.1,0,0.216,0,0.1,0.06,0.24,0.2607,902.35429,901.3854901,907.1835748
