model_pair,name,description,model,perplexity,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,rts_reasoning_sample,gemba_score,geval_diagnostic_accuracy,geval_treatment_completeness,geval_patient_safety,rts_score,bias_detected,geval_mean,geval_clinical_relevance,bias_score,geval_clinical_coherence,clinical_msk_score,mean_latency_ms,p50_latency_ms,p95_latency_ms
deepseek_7b,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,27.78498972,0.072662164,0.013789921,0.040361894,0.63520515,0.581511617,0.606061637,"# MSK Physiotherapy Clinical Case Evaluation

## Achilles Tendon Stress – Case #15701 (10/25/2020)

---

## Analysis by Dimension

### 1. CLINICAL REASONING
**Score consideration: Very Poor**

The case study provides virtually **no clinical content** beyond a title, case number, and date. There is:
- No documented presentation (symptoms, mechanism of injury, onset)
- No diagnostic reasoning pathway
- No differential diagnosis considered
- No logical progression from history → clinical findings → diagnosis

The repeated header/metadata suggests a **formatting/data corruption issue** rather than",0.02,0.04,0,0.02,0.02,0.104,0.04,0,0.1,0.04,0.1692,1268.150766,1265.984694,1277.600765
deepseek_7b,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,68.99114203,0.068174891,0.012147039,0.040907727,0.62375319,0.601593792,0.611707509,"I'll systematically evaluate this case study across each dimension.

---

## 1. CLINICAL REASONING

The case study contains **multiple significant anatomical and physiological errors**:

- The Achilles tendon is located at the **posterior heel/calcaneus**, not ""near the knee""
- It is **not an autonomic muscle** — it is a somatic tendon connecting the gastrocnemius and soleus to the calcaneus
- It is **not stimulated by the sympathetic nervous system**
- It is **not called the ""knee tendon""**
- It is located **posteriorly**, not in the ""medial portion of the leg""
- The text is **extensively rep",0,0.016,0,0.02,0,0.036,0.02,0,0.04,0.02,0.1434,1268.283265,1267.688006,1276.998461
deepseek_7b,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,35.42328485,0.001077228,0,0.001077228,0.649301767,0.572108388,0.607447743,"# MSK Physiotherapy Case Study Evaluation

## Analysis by Dimension

### 1. CLINICAL REASONING
The case study text appears to be severely corrupted/malformed, consisting entirely of the repeated phrase ""ChronicAchillesTendonDisplacement"" with no actual clinical content, patient history, mechanism of injury, symptom description, or diagnostic reasoning presented. **There is no logical pathway from presentation to diagnosis discernible.**",0,0.008,0,0,0,0.046,0,0,0.04,0,0.1351,1124.960641,1123.434473,1132.317982
deepseek_7b,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,32.87912406,0.00228124,0.000171657,0.001847689,0.636487186,0.565442681,0.597631991,"# MSK Physiotherapy Clinical Case Study Evaluation

## Analysis of the Submitted Case Study

### Initial Observation
The submitted ""case study"" contains no actual clinical content whatsoever. It consists entirely of the repeated text string **""Condition:AchillesTendonCaseStudy:""** copied approximately 28+ times, with no patient information, clinical data, or meaningful content of any kind.

---

## Dimension-by-Dimension Reasoning

### 1. CLINICAL REASONING
- **Presentation → Diagnosis logic:** ❌ No patient presentation provided. No history, no mechanism of injury, no symptom description, no d",0,0.004,0,0,0,0.008,0,0,0.02,0.02,0.1267,1126.026496,1124.561994,1135.570164
deepseek_7b,A4_kd_guidance_rl,KD + RL + dynamic ranks + teacher KD guidance (no agreement reward),A4_kd_guidance_rl,36.77945771,0.01336938,0.003030303,0.00869562,0.657595813,0.589467704,0.620646298,"# MSK Physiotherapy Case Study Evaluation

## Dimensional Analysis

### 1. CLINICAL REASONING
The case study presents a 42-year-old male with an Achilles Tendon condition, however the clinical reasoning is **severely compromised**. The text is largely **repetitive, circular, and incoherent**, introducing invented terminology (""Achilles Tendon Stenoid Stenoid Condition,"" ""TSC,"" ""ATS"") that does not correspond to any recognized clinical classification. There is no logical pathway from:
- Symptom presentation → clinical hypothesis → differential diagnosis → confirmed diagnosis

The reasoning chai",0,0.004,0.2,0,0,0.02,0,0.2,0.02,0,0.1179,1122.665337,1121.038018,1132.987942
deepseek_7b,A5_full_pipeline,Full method: KD + hybrid KD+RL + dynamic ranks + agreement reward,A5_full_pipeline,36.98867374,0.001817879,0.00015064,0.001817879,0.63326627,0.575773239,0.60215205,"# MSK Physiotherapy Case Study Evaluation

## Analysis Across Four Dimensions

---

### 1. CLINICAL REASONING
The case study provided contains **no actual clinical content** — only the repeated text ""CaseStudy:"" appearing approximately 85+ times. There is no presentation narrative, no symptom description, no history, no mechanism of injury, and no diagnostic reasoning pathway presented. The condition label ""Achilles Tendon"" is stated, but no logical progression from presentation to diagnosis exists.

**Rating: 0/10**

---

### 2. ASSESSMENT COMPLETENESS
There is **no subjective history** (onse",0,0,0,0,0,0.004,0,0,0,0,0.1216,1122.320761,1120.511581,1126.69286
deepseek_phi4mini,A0_teacher_baseline,Fine-tuned teacher only — no distillation or refinement,A0_teacher_baseline,8.162909897,0.142073307,0.030590366,0.071497436,0.768220007,0.701394856,0.73109746,"# Expert MSK Physiotherapy Evaluation: Achilles Tendinopathy Case Study

---

## 1. CLINICAL REASONING – Presentation → Diagnosis Logic

**Evaluation:**
The case correctly identifies a 32-year-old female runner with a plausible mechanism of injury. The association between running (particularly uphill), chronic overload, and Achilles tendinopathy is **clinically sound and evidence-based** (Cook & Purdam, 2009 – continuum model of tendinopathy).

**Strengths:**
- Age and activity profile consistent with mid-portion Achilles tendinopathy demographics
- Chronicity (3 months) correctly implies reac",0.06,0.16,0,0.2,0,0.14,0.06,0.08,0.2,0.342,0.2859,2842.876328,2842.493493,2849.785067
deepseek_phi4mini,A1_distill_only,Distillation only — no Phase 3 refinement,A1_distill_only,19.79057068,0.11559998,0.021206087,0.068474352,0.77577579,0.674398899,0.719774127,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major Concerns:**
- The case study contains a **fundamentally incorrect anatomical definition**: The Achilles tendon is described as ""a group of muscles and tendons located in the lower back, front, and arms"" — this is completely wrong. The Achilles tendon is the largest tendon in the body connecting the gastrocnemius and soleus muscles to the calcaneus (heel bone).
- The **presentation describes lower back pain**, not Achilles tendon pathology. T",0,0,0,0,0,0.004,0.08,0,0.02,0.024,0.1738,1260.60735,1259.874243,1266.445674
deepseek_phi4mini,A2_rl_task_accuracy,KD + RL with task accuracy reward (no teacher agreement),A2_rl_task_accuracy,123.8276441,0.129316079,0.02373366,0.076965527,0.774522662,0.673083961,0.718030393,"# MSK Physiotherapy Clinical Case Study Evaluation

## Dimension-by-Dimension Analysis

---

### 1. CLINICAL REASONING (Presentation → Diagnosis)

**Major deficiencies identified:**
- No formal diagnosis is established — the condition is vaguely referred to as ""an Achilles tendon condition"" without differentiating between **tendinopathy, tendinitis, partial tear, insertional vs. mid-portion** pathology
- No mechanism of injury is clearly articulated beyond generic exercise references
- No reasoning chain connecting symptom onset → aggravating factors → working hypothesis → differential diagnos",0.02,0.02,0,0.02,0,0.028,0.04,0.02,0.06,0.068,0.1833,1157.298777,1156.899251,1160.808643
deepseek_phi4mini,A3_dynamic_ranks_no_rl,"KD + dynamic LoRA ranks, no RL",A3_dynamic_ranks_no_rl,22.5063539,0.148535544,0.026566555,0.086934426,0.757092834,0.692482471,0.723077178,"# MSK Physiotherapy Case Study Evaluation

## Analysis Across Four Dimensions

---

### 1. CLINICAL REASONING
The case study is **severely deficient** in clinical reasoning. The text is largely repetitive and incoherent, consisting of the same sentences recycled multiple times. There is:
- No coherent presentation of symptoms
- No mechanism of injury described
- No diagnostic pathway established
- No logical progression from presentation → hypothesis → diagnosis
- The connection to ""Achilles Tendon"" as a condition is entirely absent from the body text

**Rating: 0/10**

---

### 2. ASSESSMENT ",0,0,0,0,0,0.008,0.06,0,0.04,0.02,0.1723,1149.093073,1143.454512,1170.317196
